group	human_source	cage_id	mouse_id	mouse_sex	mouse_DOB	mouse_age_d	mouse_age_wk	day	cdiff_strain	date	sample_type	cdiff_cfu	nextDayCFU_colon	nextDayCFU_any	weight_grams	percent_weightLoss	file
369-942-D10	DA00369	369	942	f	2/14/13	57	8.14	10	431	4/12/13	stool	75000000	NA	NA	18.5	100	20130318_GF_cfu.xlsx
369-942-D2	DA00369	369	942	f	2/14/13	49	7.00	2	431	4/4/13	stool	9240000	50000000	50000000	18.5	100	20130318_GF_cfu.xlsx
369-942-D3	DA00369	369	942	f	2/14/13	50	7.14	3	431	4/5/13	stool	50000000	20000000	20000000	16	86.48648649	20130318_GF_cfu.xlsx
369-942-D4	DA00369	369	942	f	2/14/13	51	7.29	4	431	4/6/13	stool	20000000	2400000	2400000	17.5	94.59459459	20130318_GF_cfu.xlsx
369-942-D5	DA00369	369	942	f	2/14/13	52	7.43	5	431	4/7/13	stool	2400000	100000000	100000000	17.5	94.59459459	20130318_GF_cfu.xlsx
369-942-D6	DA00369	369	942	f	2/14/13	53	7.57	6	431	4/8/13	stool	100000000	24000000	24000000	17	91.89189189	20130318_GF_cfu.xlsx
369-942-D7	DA00369	369	942	f	2/14/13	54	7.71	7	431	4/9/13	stool	24000000	9500000	9500000	17.5	94.59459459	20130318_GF_cfu.xlsx
369-942-D8	DA00369	369	942	f	2/14/13	55	7.86	8	431	4/10/13	stool	9500000	98000000	98000000	17	91.89189189	20130318_GF_cfu.xlsx
369-942-D9	DA00369	369	942	f	2/14/13	56	8.00	9	431	4/11/13	stool	98000000	75000000	75000000	17.5	94.59459459	20130318_GF_cfu.xlsx
369-992-D0	DA00369	369	992	f	2/14/13	47	6.71	0	431	4/2/13	stool	0	42000	42000	17	100	20130318_GF_cfu.xlsx
369-992-D1	DA00369	369	992	f	2/14/13	48	6.86	1	431	4/3/13	stool	42000	8400000	8400000	17	100	20130318_GF_cfu.xlsx
369-992-D10	DA00369	369	992	f	2/14/13	57	8.14	10	431	4/12/13	stool	52000000	NA	NA	18	105.8823529	20130318_GF_cfu.xlsx
369-992-D2	DA00369	369	992	f	2/14/13	49	7.00	2	431	4/4/13	stool	8400000	17000000	17000000	17.5	102.9411765	20130318_GF_cfu.xlsx
369-992-D3	DA00369	369	992	f	2/14/13	50	7.14	3	431	4/5/13	stool	17000000	8400000	8400000	16	94.11764706	20130318_GF_cfu.xlsx
369-992-D4	DA00369	369	992	f	2/14/13	51	7.29	4	431	4/6/13	stool	8400000	192000000	192000000	17.5	102.9411765	20130318_GF_cfu.xlsx
369-992-D5	DA00369	369	992	f	2/14/13	52	7.43	5	431	4/7/13	stool	192000000	244000000	244000000	17	100	20130318_GF_cfu.xlsx
369-992-D6	DA00369	369	992	f	2/14/13	53	7.57	6	431	4/8/13	stool	244000000	168000000	168000000	17	100	20130318_GF_cfu.xlsx
369-992-D7	DA00369	369	992	f	2/14/13	54	7.71	7	431	4/9/13	stool	168000000	90000000	90000000	16.5	97.05882353	20130318_GF_cfu.xlsx
369-992-D8	DA00369	369	992	f	2/14/13	55	7.86	8	431	4/10/13	stool	90000000	150000000	150000000	16.5	97.05882353	20130318_GF_cfu.xlsx
369-992-D9	DA00369	369	992	f	2/14/13	56	8.00	9	431	4/11/13	stool	150000000	52000000	52000000	17.5	102.9411765	20130318_GF_cfu.xlsx
375A-inoculum	DA00375	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
430-304-D0	DA00430	430	304	m	2/14/13	47	6.71	0	431	4/2/13	stool	0	5700000	5700000	24.5	100	20130318_GF_cfu.xlsx
430-304-D1	DA00430	430	304	m	2/14/13	48	6.86	1	431	4/3/13	stool	5700000	7000000	7000000	22	89.79591837	20130318_GF_cfu.xlsx
430-304-D10	DA00430	430	304	m	2/14/13	57	8.14	10	431	4/12/13	stool	15000000	NA	NA	23.5	95.91836735	20130318_GF_cfu.xlsx
430-304-D2	DA00430	430	304	m	2/14/13	49	7.00	2	431	4/4/13	stool	7000000	8700000	8700000	22	89.79591837	20130318_GF_cfu.xlsx
430-304-D3	DA00430	430	304	m	2/14/13	50	7.14	3	431	4/5/13	stool	8700000	300000	300000	22	89.79591837	20130318_GF_cfu.xlsx
430-304-D4	DA00430	430	304	m	2/14/13	51	7.29	4	431	4/6/13	stool	300000	800000	800000	23	93.87755102	20130318_GF_cfu.xlsx
430-304-D5	DA00430	430	304	m	2/14/13	52	7.43	5	431	4/7/13	stool	800000	5400000	5400000	23	93.87755102	20130318_GF_cfu.xlsx
430-304-D6	DA00430	430	304	m	2/14/13	53	7.57	6	431	4/8/13	stool	5400000	21700000	21700000	23	93.87755102	20130318_GF_cfu.xlsx
430-304-D7	DA00430	430	304	m	2/14/13	54	7.71	7	431	4/9/13	stool	21700000	13000000	13000000	23	93.87755102	20130318_GF_cfu.xlsx
430-304-D8	DA00430	430	304	m	2/14/13	55	7.86	8	431	4/10/13	stool	13000000	26000000	26000000	23	93.87755102	20130318_GF_cfu.xlsx
430-304-D9	DA00430	430	304	m	2/14/13	56	8.00	9	431	4/11/13	stool	26000000	15000000	15000000	24	97.95918367	20130318_GF_cfu.xlsx
430-307-D0	DA00430	430	307	m	2/14/13	47	6.71	0	431	4/2/13	stool	0	800000	800000	22.5	100	20130318_GF_cfu.xlsx
430-307-D1	DA00430	430	307	m	2/14/13	48	6.86	1	431	4/3/13	stool	800000	4200000	4200000	22	97.77777778	20130318_GF_cfu.xlsx
430-307-D10	DA00430	430	307	m	2/14/13	57	8.14	10	431	4/12/13	stool	12100000	NA	NA	22.5	100	20130318_GF_cfu.xlsx
430-307-D2	DA00430	430	307	m	2/14/13	49	7.00	2	431	4/4/13	stool	4200000	25000000	25000000	20	88.88888889	20130318_GF_cfu.xlsx
430-307-D3	DA00430	430	307	m	2/14/13	50	7.14	3	431	4/5/13	stool	25000000	200000	200000	21	93.33333333	20130318_GF_cfu.xlsx
430-307-D4	DA00430	430	307	m	2/14/13	51	7.29	4	431	4/6/13	stool	200000	12600000	12600000	21.5	95.55555556	20130318_GF_cfu.xlsx
430-307-D5	DA00430	430	307	m	2/14/13	52	7.43	5	431	4/7/13	stool	12600000	15800000	15800000	22.5	100	20130318_GF_cfu.xlsx
430-307-D6	DA00430	430	307	m	2/14/13	53	7.57	6	431	4/8/13	stool	15800000	20400000	20400000	22	97.77777778	20130318_GF_cfu.xlsx
430-307-D7	DA00430	430	307	m	2/14/13	54	7.71	7	431	4/9/13	stool	20400000	27000000	27000000	22	97.77777778	20130318_GF_cfu.xlsx
430-307-D8	DA00430	430	307	m	2/14/13	55	7.86	8	431	4/10/13	stool	27000000	15500000	15500000	22	97.77777778	20130318_GF_cfu.xlsx
430-307-D9	DA00430	430	307	m	2/14/13	56	8.00	9	431	4/11/13	stool	15500000	12100000	12100000	22.5	100	20130318_GF_cfu.xlsx
430-920-D0	DA00430	430	920	m	2/14/13	47	6.71	0	431	4/2/13	stool	0	2700000	2700000	21.5	100	20130318_GF_cfu.xlsx
430-920-D1	DA00430	430	920	m	2/14/13	48	6.86	1	431	4/3/13	stool	2700000	7600000	7600000	20.5	95.34883721	20130318_GF_cfu.xlsx
430-920-D10	DA00430	430	920	m	2/14/13	57	8.14	10	431	4/12/13	stool	13000000	NA	NA	22	102.3255814	20130318_GF_cfu.xlsx
430-920-D2	DA00430	430	920	m	2/14/13	49	7.00	2	431	4/4/13	stool	7600000	7600000	7600000	20	93.02325581	20130318_GF_cfu.xlsx
430-920-D3	DA00430	430	920	m	2/14/13	50	7.14	3	431	4/5/13	stool	7600000	1200000	1200000	20.5	95.34883721	20130318_GF_cfu.xlsx
430-920-D4	DA00430	430	920	m	2/14/13	51	7.29	4	431	4/6/13	stool	1200000	12100000	12100000	21.5	100	20130318_GF_cfu.xlsx
430-920-D5	DA00430	430	920	m	2/14/13	52	7.43	5	431	4/7/13	stool	12100000	14100000	14100000	21.5	100	20130318_GF_cfu.xlsx
430-920-D6	DA00430	430	920	m	2/14/13	53	7.57	6	431	4/8/13	stool	14100000	17800000	17800000	21.5	100	20130318_GF_cfu.xlsx
430-920-D7	DA00430	430	920	m	2/14/13	54	7.71	7	431	4/9/13	stool	17800000	30000000	30000000	21.5	100	20130318_GF_cfu.xlsx
430-920-D8	DA00430	430	920	m	2/14/13	55	7.86	8	431	4/10/13	stool	30000000	11100000	11100000	22	102.3255814	20130318_GF_cfu.xlsx
430-920-D9	DA00430	430	920	m	2/14/13	56	8.00	9	431	4/11/13	stool	11100000	13000000	13000000	22.5	104.6511628	20130318_GF_cfu.xlsx
430-964-D0	DA00430	430	964	m	2/14/13	47	6.71	0	431	4/2/13	stool	0	200000	200000	24	100	20130318_GF_cfu.xlsx
430-964-D1	DA00430	430	964	m	2/14/13	48	6.86	1	431	4/3/13	stool	200000	2900000	2900000	23	95.83333333	20130318_GF_cfu.xlsx
430-964-D10	DA00430	430	964	m	2/14/13	57	8.14	10	431	4/12/13	stool	9400000	NA	NA	23.5	97.91666667	20130318_GF_cfu.xlsx
430-964-D2	DA00430	430	964	m	2/14/13	49	7.00	2	431	4/4/13	stool	2900000	15300000	15300000	22	91.66666667	20130318_GF_cfu.xlsx
430-964-D3	DA00430	430	964	m	2/14/13	50	7.14	3	431	4/5/13	stool	15300000	150000	150000	22	91.66666667	20130318_GF_cfu.xlsx
430-964-D4	DA00430	430	964	m	2/14/13	51	7.29	4	431	4/6/13	stool	150000	12600000	12600000	23	95.83333333	20130318_GF_cfu.xlsx
430-964-D5	DA00430	430	964	m	2/14/13	52	7.43	5	431	4/7/13	stool	12600000	14100000	14100000	23	95.83333333	20130318_GF_cfu.xlsx
430-964-D6	DA00430	430	964	m	2/14/13	53	7.57	6	431	4/8/13	stool	14100000	11500000	11500000	23	95.83333333	20130318_GF_cfu.xlsx
430-964-D7	DA00430	430	964	m	2/14/13	54	7.71	7	431	4/9/13	stool	11500000	39000000	39000000	22.5	93.75	20130318_GF_cfu.xlsx
430-964-D8	DA00430	430	964	m	2/14/13	55	7.86	8	431	4/10/13	stool	39000000	15100000	15100000	23	95.83333333	20130318_GF_cfu.xlsx
430-964-D9	DA00430	430	964	m	2/14/13	56	8.00	9	431	4/11/13	stool	15100000	9400000	9400000	23.5	97.91666667	20130318_GF_cfu.xlsx
578-382-D0	DA00578	578	382	f	2/14/13	47	6.71	0	431	4/2/13	stool	0	63000000	63000000	18.5	100	20130318_GF_cfu.xlsx
578-382-D1	DA00578	578	382	f	2/14/13	48	6.86	1	431	4/3/13	stool	63000000	17000000	17000000	18.5	100	20130318_GF_cfu.xlsx
578-382-D2	DA00578	578	382	f	2/14/13	49	7.00	2	431	4/4/13	stool	17000000	NA	NA	15	81.08108108	20130318_GF_cfu.xlsx
578-389-D0	DA00578	578	389	f	2/14/13	47	6.71	0	431	4/2/13	stool	0	53000000	53000000	18	100	20130318_GF_cfu.xlsx
578-389-D1	DA00578	578	389	f	2/14/13	48	6.86	1	431	4/3/13	stool	53000000	263000000	263000000	18.5	102.7777778	20130318_GF_cfu.xlsx
578-389-D2	DA00578	578	389	f	2/14/13	49	7.00	2	431	4/4/13	stool	263000000	NA	NA	NA	NA	20130318_GF_cfu.xlsx
578-984-D0	DA00578	578	984	m	2/14/13	47	6.71	0	431	4/2/13	stool	0	38000000	38000000	21	100	20130318_GF_cfu.xlsx
578-984-D1	DA00578	578	984	m	2/14/13	48	6.86	1	431	4/3/13	stool	38000000	2900000	2900000	21.5	102.3809524	20130318_GF_cfu.xlsx
578-984-D2	DA00578	578	984	m	2/14/13	49	7.00	2	431	4/4/13	stool	2900000	NA	NA	17.5	83.33333333	20130318_GF_cfu.xlsx
581-inoculum	DA00581	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
6A-inoculum	DA00006	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
A-503-D0	DA00581	A	503	m	12/26/13	68	9.71	0	431	3/4/14	stool	0	27900000	27900000	22.7	100	20140304_GF_cfu.xlsx
A-503-D1	DA00581	A	503	m	12/26/13	69	9.86	1	431	3/5/14	stool	27900000	30000000	30000000	24.3	107.0484581	20140304_GF_cfu.xlsx
A-503-D10	DA00581	A	503	m	12/26/13	78	11.14	10	431	3/14/14	stool	204000	NA	NA	25.4	111.8942731	20140304_GF_cfu.xlsx
A-503-D2	DA00581	A	503	m	12/26/13	70	10.00	2	431	3/6/14	stool	30000000	34000000	34000000	25.5	112.3348018	20140304_GF_cfu.xlsx
A-503-D3	DA00581	A	503	m	12/26/13	71	10.14	3	431	3/7/14	stool	34000000	9100000	9100000	25.5	112.3348018	20140304_GF_cfu.xlsx
A-503-D4	DA00581	A	503	m	12/26/13	72	10.29	4	431	3/8/14	stool	9100000	5900000	5900000	25.5	112.3348018	20140304_GF_cfu.xlsx
A-503-D5	DA00581	A	503	m	12/26/13	73	10.43	5	431	3/9/14	stool	5900000	1560000	1560000	25	110.1321586	20140304_GF_cfu.xlsx
A-503-D6	DA00581	A	503	m	12/26/13	74	10.57	6	431	3/10/14	stool	1560000	1660000	1660000	25	110.1321586	20140304_GF_cfu.xlsx
A-503-D7	DA00581	A	503	m	12/26/13	75	10.71	7	431	3/11/14	stool	1660000	750000	750000	25.5	112.3348018	20140304_GF_cfu.xlsx
A-503-D8	DA00581	A	503	m	12/26/13	76	10.86	8	431	3/12/14	stool	750000	830000	830000	25	110.1321586	20140304_GF_cfu.xlsx
A-503-D9	DA00581	A	503	m	12/26/13	77	11.00	9	431	3/13/14	stool	830000	204000	204000	25.5	112.3348018	20140304_GF_cfu.xlsx
A-526-D0	DA00581	A	526	m	12/26/13	68	9.71	0	431	3/4/14	stool	0.00E+00	2.02E+07	2.02E+07	23.1	100	20140304_GF_cfu.xlsx
A-526-D1	DA00581	A	526	m	12/26/13	69	9.86	1	431	3/5/14	stool	2.02E+07	1.70E+07	1.70E+07	25.3	109.5238095	20140304_GF_cfu.xlsx
A-526-D10	DA00581	A	526	m	12/26/13	78	11.14	10	431	3/14/14	stool	1.77E+06	NA	NA	25.6	110.8225108	20140304_GF_cfu.xlsx
A-526-D2	DA00581	A	526	m	12/26/13	70	10.00	2	431	3/6/14	stool	1.70E+07	1.80E+06	1.80E+06	25.5	110.3896104	20140304_GF_cfu.xlsx
A-526-D3	DA00581	A	526	m	12/26/13	71	10.14	3	431	3/7/14	stool	1.80E+06	9.70E+06	9.70E+06	26	112.5541126	20140304_GF_cfu.xlsx
A-526-D4	DA00581	A	526	m	12/26/13	72	10.29	4	431	3/8/14	stool	9.70E+06	3.50E+06	3.50E+06	26.3	113.8528139	20140304_GF_cfu.xlsx
A-526-D5	DA00581	A	526	m	12/26/13	73	10.43	5	431	3/9/14	stool	3.50E+06	1.04E+06	1.04E+06	26.5	114.7186147	20140304_GF_cfu.xlsx
A-526-D6	DA00581	A	526	m	12/26/13	74	10.57	6	431	3/10/14	stool	1.04E+06	7.50E+05	7.50E+05	26	112.5541126	20140304_GF_cfu.xlsx
A-526-D7	DA00581	A	526	m	12/26/13	75	10.71	7	431	3/11/14	stool	7.50E+05	1.19E+06	1.19E+06	26.5	114.7186147	20140304_GF_cfu.xlsx
A-526-D8	DA00581	A	526	m	12/26/13	76	10.86	8	431	3/12/14	stool	1.19E+06	9.50E+05	9.50E+05	26.3	113.8528139	20140304_GF_cfu.xlsx
A-526-D9	DA00581	A	526	m	12/26/13	77	11.00	9	431	3/13/14	stool	9.50E+05	1.77E+06	1.77E+06	25.9	112.1212121	20140304_GF_cfu.xlsx
A-566-D0	DA00581	A	566	m	12/26/13	68	9.71	0	431	3/4/14	stool	0	29000000	29000000	26	100	20140304_GF_cfu.xlsx
A-566-D1	DA00581	A	566	m	12/26/13	69	9.86	1	431	3/5/14	stool	29000000	49000000	49000000	24.7	95	20140304_GF_cfu.xlsx
A-566-D10	DA00581	A	566	m	12/26/13	78	11.14	10	431	3/14/14	stool	320000	NA	NA	26.4	101.5384615	20140304_GF_cfu.xlsx
A-566-D2	DA00581	A	566	m	12/26/13	70	10.00	2	431	3/6/14	stool	49000000	1700000	1700000	25.4	97.69230769	20140304_GF_cfu.xlsx
A-566-D3	DA00581	A	566	m	12/26/13	71	10.14	3	431	3/7/14	stool	1700000	3600000	3600000	26	100	20140304_GF_cfu.xlsx
A-566-D4	DA00581	A	566	m	12/26/13	72	10.29	4	431	3/8/14	stool	3600000	5700000	5700000	25.5	98.07692308	20140304_GF_cfu.xlsx
A-566-D5	DA00581	A	566	m	12/26/13	73	10.43	5	431	3/9/14	stool	5700000	980000	980000	25	96.15384615	20140304_GF_cfu.xlsx
A-566-D6	DA00581	A	566	m	12/26/13	74	10.57	6	431	3/10/14	stool	980000	820000	820000	26	100	20140304_GF_cfu.xlsx
A-566-D7	DA00581	A	566	m	12/26/13	75	10.71	7	431	3/11/14	stool	820000	560000	560000	26.5	101.9230769	20140304_GF_cfu.xlsx
A-566-D8	DA00581	A	566	m	12/26/13	76	10.86	8	431	3/12/14	stool	560000	440000	440000	26	100	20140304_GF_cfu.xlsx
A-566-D9	DA00581	A	566	m	12/26/13	77	11.00	9	431	3/13/14	stool	440000	320000	320000	25.9	99.61538462	20140304_GF_cfu.xlsx
AMSno	AMS	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
AMSyes	AMS	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
C-516-D0	DA00581	C	516	m	12/25/13	69	9.86	0	431	3/4/14	stool	0	910000	910000	27.1	100	20140304_GF_cfu.xlsx
C-516-D1	DA00581	C	516	m	12/25/13	70	10.00	1	431	3/5/14	stool	910000	900000	900000	27.1	100	20140304_GF_cfu.xlsx
C-516-D10	DA00581	C	516	m	12/25/13	79	11.29	10	431	3/14/14	stool	950000	NA	NA	27.3	100.7380074	20140304_GF_cfu.xlsx
C-516-D2	DA00581	C	516	m	12/25/13	71	10.14	2	431	3/6/14	stool	900000	590000	590000	27.6	101.8450185	20140304_GF_cfu.xlsx
C-516-D3	DA00581	C	516	m	12/25/13	72	10.29	3	431	3/7/14	stool	590000	990000	990000	27.4	101.1070111	20140304_GF_cfu.xlsx
C-516-D4	DA00581	C	516	m	12/25/13	73	10.43	4	431	3/8/14	stool	990000	1610000	1610000	27.6	101.8450185	20140304_GF_cfu.xlsx
C-516-D5	DA00581	C	516	m	12/25/13	74	10.57	5	431	3/9/14	stool	1610000	640000	640000	27.5	101.4760148	20140304_GF_cfu.xlsx
C-516-D6	DA00581	C	516	m	12/25/13	75	10.71	6	431	3/10/14	stool	640000	420000	420000	27	99.63099631	20140304_GF_cfu.xlsx
C-516-D7	DA00581	C	516	m	12/25/13	76	10.86	7	431	3/11/14	stool	420000	1470000	1470000	27.7	102.2140221	20140304_GF_cfu.xlsx
C-516-D8	DA00581	C	516	m	12/25/13	77	11.00	8	431	3/12/14	stool	1470000	1090000	1090000	27.6	101.8450185	20140304_GF_cfu.xlsx
C-516-D9	DA00581	C	516	m	12/25/13	78	11.14	9	431	3/13/14	stool	1090000	950000	950000	27.6	101.8450185	20140304_GF_cfu.xlsx
C-596-D0	DA00581	C	596	m	12/25/13	69	9.86	0	431	3/4/14	stool	0	370000	370000	27.2	100	20140304_GF_cfu.xlsx
C-596-D1	DA00581	C	596	m	12/25/13	70	10.00	1	431	3/5/14	stool	370000	370000	370000	27.2	100	20140304_GF_cfu.xlsx
C-596-D10	DA00581	C	596	m	12/25/13	79	11.29	10	431	3/14/14	stool	189000	NA	NA	28.9	106.25	20140304_GF_cfu.xlsx
C-596-D2	DA00581	C	596	m	12/25/13	71	10.14	2	431	3/6/14	stool	370000	300000	300000	28.5	104.7794118	20140304_GF_cfu.xlsx
C-596-D3	DA00581	C	596	m	12/25/13	72	10.29	3	431	3/7/14	stool	300000	580000	580000	28.5	104.7794118	20140304_GF_cfu.xlsx
C-596-D4	DA00581	C	596	m	12/25/13	73	10.43	4	431	3/8/14	stool	580000	650000	650000	29.1	106.9852941	20140304_GF_cfu.xlsx
C-596-D5	DA00581	C	596	m	12/25/13	74	10.57	5	431	3/9/14	stool	650000	92000	92000	28.5	104.7794118	20140304_GF_cfu.xlsx
C-596-D6	DA00581	C	596	m	12/25/13	75	10.71	6	431	3/10/14	stool	92000	218000	218000	28	102.9411765	20140304_GF_cfu.xlsx
C-596-D7	DA00581	C	596	m	12/25/13	76	10.86	7	431	3/11/14	stool	218000	207000	207000	29.4	108.0882353	20140304_GF_cfu.xlsx
C-596-D8	DA00581	C	596	m	12/25/13	77	11.00	8	431	3/12/14	stool	207000	630000	630000	29.3	107.7205882	20140304_GF_cfu.xlsx
C-596-D9	DA00581	C	596	m	12/25/13	78	11.14	9	431	3/13/14	stool	630000	189000	189000	28.8	105.8823529	20140304_GF_cfu.xlsx
CON-2030-D0	DA00578	CON	2030	f	5/18/12	46	6.57	0	395	7/3/12	stool	NA	56500000	56500000	16.8	100	20120703_infectionCFUS_round2.xlsx
CON-2030-D1	DA00578	CON	2030	f	5/18/12	47	6.71	1	395	7/4/12	stool	56500000	NA	208000000	17.4	103.5714286	20120703_infectionCFUS_round2.xlsx
CON-2030C-D2	DA00578	CON	2030	f	5/18/12	48	6.86	2	395	7/5/12	cecum	208000000	NA	NA	13.5	80.35714286	20120703_infectionCFUS_round2.xlsx
CON-2651-D0	DA00578	CON	2651	f	5/18/12	46	6.57	0	395	7/3/12	stool	NA	500000	500000	16.7	100	20120703_infectionCFUS_round2.xlsx
CON-2651-D1	DA00578	CON	2651	f	5/18/12	47	6.71	1	395	7/4/12	stool	500000	NA	151000000	17.7	105.988024	20120703_infectionCFUS_round2.xlsx
CON-2657C-D2	DA00578	CON	2657	f	5/18/12	48	6.86	2	395	7/5/12	cecum	151000000	NA	NA	14	83.83233533	20120703_infectionCFUS_round2.xlsx
CON-2674-D0	DA00578	CON	2674	f	5/18/12	46	6.57	0	395	7/3/12	stool	NA	2600000	2600000	16.8	100	20120703_infectionCFUS_round2.xlsx
CON-2674-D1	DA00578	CON	2674	f	5/18/12	47	6.71	1	395	7/4/12	stool	2600000	NA	1020000000	17.9	106.547619	20120703_infectionCFUS_round2.xlsx
CON-2674-D2	DA00578	CON	2674	f	5/18/12	48	6.86	2	395	7/5/12	stool	NA	NA	NA	14.5	86.30952381	20120703_infectionCFUS_round2.xlsx
CON-2674C-D2	DA00578	CON	2674	f	5/18/12	48	6.86	2	395	7/5/12	cecum	1020000000	NA	NA	14.5	86.30952381	20120703_infectionCFUS_round2.xlsx
CON2-2328-D0	DA00369	CON2	2328	f	5/18/12	60	8.57	0	458	7/17/12	stool	0	1000	1000	19.9	100	20120717_GF_cfu.xlsx
CON2-2328-D1	DA00369	CON2	2328	f	5/18/12	61	8.71	1	458	7/18/12	stool	1000	0	0	21	105.528	20120717_GF_cfu.xlsx
CON2-2328-D10	DA00369	CON2	2328	f	5/18/12	70	10.00	10	458	7/27/12	stool	10300000	NA	NA	20	100.503	20120717_GF_cfu.xlsx
CON2-2328-D2	DA00369	CON2	2328	f	5/18/12	62	8.86	2	458	7/19/12	stool	0	18100000	18100000	20.7	104.020	20120717_GF_cfu.xlsx
CON2-2328-D3	DA00369	CON2	2328	f	5/18/12	63	9.00	3	458	7/20/12	stool	18100000	0	0	20.2	101.508	20120717_GF_cfu.xlsx
CON2-2328-D4	DA00369	CON2	2328	f	5/18/12	64	9.14	4	458	7/21/12	stool	0	4000000	4000000	20	100.503	20120717_GF_cfu.xlsx
