Number	Assay_date	Cage_Mouse	Experiment_day	Sample_source	percent_weightLoss	loss_below90	day_end	Recip_Dilution_from_DP2	Recip_Dilution_from_adding_to_cells	Recip_Dilution_from_Postion_on_PlateA	Recip_Dilution_from_Postion_on_PlateB	Average 	Log_repiricoal_dilution
26	6/19/15	OUTA-2063-D2	2	stool	101.1450382	NA	10	2	10	0	0	0	1
27	6/19/15	P2-2564-D2	2	stool	98.88059701	NA	10	2	10	0	0	0	1
28	6/19/15	Y-NT-D2	2	stool	92.23300971	NA	2	2	10	250	250	250	3.698970004
29	6/19/15	N-540-D2	2	stool	100.9389671	NA	10	2	10	50	50	50	3
30	6/19/15	A-566-D2	2	stool	97.69230769	NA	10	2	10	0	0	0	1
31	6/19/15	C-516-D2	2	stool	101.8450185	NA	10	2	10	0	0	0	1
32	6/19/15	D-507-D2	2	stool	106.4777328	NA	10	2	10	0	0	0	1
33	6/19/15	INA-NTC-D2	2	cecalcon	84.15841584	84.15841584	2	2	10	0	0	0	1
34	6/19/15	CONA-NTC-D2	2	cecalcon	71.18644068	71.18644068	2	2	10	1250	1250	1250	4.397940009
35	6/19/15	OP-931-D2	2	stool	84.73895582	84.73895582	3	2	10	0	0	0	1
36	6/19/15	IN2-2613-D2	2	stool	100	NA	10	2	10	10	10	10	2.301029996
37	6/19/15	IN3-NT-D2	2	stool	81.53153153	81.53153153	10	2	10	0	0	0	1
38	6/19/15	OUT2-2533-D2	2	stool	106.763285	NA	10	2	10	0	0	0	1
39	6/19/15	LINE-MNT-D2	2	stool	108.8235294	NA	10	2	10	0	0	0	1
40	6/19/15	430-920-D2	2	stool	93.02325581	NA	10	2	10	50	50	50	3
41	6/19/15	369-942-D2	2	stool	100	NA	10	2	10	50	50	50	3
42	6/19/15	578-382-D2	2	stool	81.08108108	81.08108108	2	2	10	10	10	10	2.301029996
43	6/19/15	Y-MT-D2	2	stool	NA	NA	2	2	10	10	10	10	2.301029996
44	6/19/15	N-525-D2	2	stool	82.05128205	82.05128205	10	2	10	0	0	0	1
45	6/19/15	A-526-D2	2	stool	110.3896104	NA	10	2	10	0	0	0	1
46	6/19/15	D-527-D2	2	stool	102.8806584	NA	10	2	10	0	0	0	1
47	6/19/15	INA-2056C-D2	2	cecalcon	74.23580786	74.23580786	2	2	10	1250	1250	1250	4.397940009
48	6/19/15	CONA-2955C-D2	2	cecalcon	72.72727273	72.72727273	2	2	10	0	0	0	1
49	6/19/15	OUT2-2510-D2	2	stool	112.9807692	NA	10	2	10	0	0	0	1
50	6/19/15	LINE-978-D2	2	stool	106.5217391	NA	10	2	10	0	0	0	1
51	6/19/15	430-964-D2	2	stool	91.66666667	NA	10	2	10	0	0	0	1
52	6/19/15	369-939-D2	2	stool	100	NA	10	2	10	0	0	0	1
53	6/19/15	NP2-983-D2	2	stool	99.5412844	NA	10	2	10	0	0	0	1
54	6/19/15	N-535-D2	2	stool	82.5	82.5	10	2	10	50	250	150	3.477121255
55	6/19/15	INA-2064C-D2	2	cecalcon	74.29718876	74.29718876	2	2	10	250	250	250	3.698970004
56	6/19/15	CONA-2953C-D2	2	cecalcon	77.19298246	77.19298246	2	2	10	0	0	0	1
57	6/19/15	OP-2091-D2	2	stool	83.73015873	83.73015873	3	2	10	250	250	250	3.698970004
58	6/19/15	NP1-2725-D3	3	stool	102.1352313	NA	10	2	10	0	0	0	1
59	6/22/15	NP2-2630-D3	3	stool	102.8571429	NA	10	2	10	0	0	0	1
60	6/22/15	P2-2564-D3	3	stool	103.358209	NA	10	2	10	0	0	0	1
61	6/22/15	N-540-D3	3	stool	102.3474178	NA	10	2	10	0	0	0	1
62	6/22/15	A-566-D3	3	stool	100	NA	10	2	10	0	0	0	1
63	6/22/15	C-596-D3	3	stool	104.7794118	NA	10	2	10	0	0	0	1
64	6/22/15	D-527-D3	3	stool	100.4115226	NA	10	2	10	0	0	0	1
65	6/22/15	OUTA-2062-D3	3	stool	91.46919431	NA	10	2	10	50	50	50	3
66	6/22/15	OUT-2028-D3	3	stool	69.14893617	69.14893617	3	2	10	50	50	50	3
67	6/22/15	IN1-2054C-D3	3	cecalcon	76.55502392	76.55502392	3	2	10	1250	1250	1250	4.397940009
68	6/22/15	IN2-2673-D3	3	stool	112.7272727	NA	10	2	10	0	0	0	1
69	6/22/15	IN3-2336-D3	3	stool	97.36842105	NA	10	2	10	0	0	0	1
70	6/22/15	OUT2-NT-D3	3	stool	99.50980392	NA	10	2	10	0	0	0	1
71	6/22/15	LINE-978-D3	3	stool	106.5217391	NA	10	2	10	0	0	0	1
72	6/22/15	MOUT-568-D3	3	stool	79.91803279	79.91803279	10	2	10	10	10	10	2.301029996
73	6/22/15	430-304-D3	3	stool	89.79591837	89.79591837	10	2	10	10	10	10	2.301029996
74	6/22/15	369-331-D3	3	stool	83.33333333	83.33333333	10	2	10	50	50	50	3
75	6/22/15	578-382C-D2	2	cecalcon	81.08108108	81.08108108	2	2	10	250	250	250	3.698970004
76	6/22/15	NP1-2597-D3	3	stool	101.8656716	NA	10	2	10	0	0	0	1
77	6/22/15	NP2-983-D3	3	stool	103.2110092	NA	10	2	10	0	0	0	1
78	6/22/15	P2-2517-D3	3	stool	104.9822064	NA	10	2	10	0	0	0	1
79	6/22/15	N-534-D3	3	stool	103.5532995	NA	10	2	10	10	10	10	2.301029996
80	6/22/15	A-503-D3	3	stool	112.3348018	NA	10	2	10	0	0	0	1
81	6/22/15	C-516-D3	3	stool	101.1070111	NA	10	2	10	0	0	0	1
82	6/22/15	D-507-D3	3	stool	105.2631579	NA	10	2	10	0	0	0	1
83	6/22/15	OP-931-D3	3	stool	86.34538153	86.34538153	3	2	10	0	0	0	1
84	6/22/15	OUT-2081-D3	3	stool	85.94594595	85.94594595	3	2	10	50	10	30	2.77815125
85	6/22/15	IN1-2026C-D3	3	cecalcon	72.72727273	72.72727273	3	2	10	50	50	50	3
86	6/22/15	IN2-2629-D3	3	stool	116.969697	NA	10	2	10	10	10	10	2.301029996
87	6/22/15	IN3-2318-D3	3	stool	90.33613445	NA	10	2	10	0	0	0	1
88	6/22/15	OUT2-2510-D3	3	stool	103.3653846	NA	10	2	10	0	0	0	1
89	6/22/15	LINE-188-D3	3	stool	105.2631579	NA	10	2	10	0	0	0	1
90	6/22/15	430-307-D3	3	stool	93.33333333	NA	10	2	10	250	250	250	3.698970004
91	6/22/15	369-939-D3	3	stool	97.36842105	NA	10	2	10	0	0	0	1
92	6/22/15	578-984C-D2	2	cecalcon	83.33333333	83.33333333	2	2	10	1250	1250	1250	4.397940009
93	6/22/15	NP1-317-D3	3	stool	104.4534413	NA	10	2	10	0	0	0	1
94	6/22/15	P2-2561-D3	3	stool	109.1269841	NA	10	2	10	0	0	0	1
95	6/22/15	N-525-D3	3	stool	103.5897436	NA	10	2	10	50	50	50	3
96	6/22/15	A-526-D3	3	stool	112.5541126	NA	10	2	10	0	0	0	1
97	6/22/15	OUTA-2063-D3	3	stool	91.60305344	NA	10	2	10	0	0	0	1
98	6/22/15	IN2-2613-D3	3	stool	108.3333333	NA	10	2	10	0	0	0	1
99	6/22/15	OUT-2096-D3	3	stool	82.26600985	82.26600985	3	2	10	0	0	0	1
100	6/22/15	IN3-NT-D3	3	stool	87.83783784	87.83783784	10	2	10	0	0	0	1
101	6/22/15	OUT2-2533-D3	3	stool	100.9661836	NA	10	2	10	0	0	0	1
102	6/22/15	LINE-MNT-D3	3	stool	102.9411765	NA	10	2	10	0	0	0	1
103	6/22/15	MOUT-896-D3	3	stool	77.27272727	77.27272727	10	2	10	10	10	10	2.301029996
104	6/23/15	430-920-D3	3	stool	95.34883721	NA	10	2	10	50	50	50	3
105	6/23/15	369-942-D3	3	stool	86.48648649	86.48648649	10	2	10	50	50	50	3
106	6/23/15	N-535-D3	3	stool	94.5	NA	10	2	10	1250	1250	1250	4.397940009
107	6/23/15	D-540-D3	3	stool	96.44268775	NA	10	2	10	0	0	0	1
108	6/23/15	OUTA-NT-D3	3	stool	78.57142857	78.57142857	10	2	10	0	0	0	1
109	6/23/15	OP-2091-D3	3	stool	79.36507937	79.36507937	3	2	10	0	0	0	1
110	6/23/15	OP-2542-D3	3	stool	83.7037037	83.7037037	3	2	10	10	10	10	2.301029996
111	6/23/15	430-964-D3	3	stool	91.66666667	NA	10	2	10	50	50	50	3
112	6/23/15	369-992-D3	3	stool	94.11764706	NA	10	2	10	50	50	50	3
113	6/23/15	NP1-2597-D4	4	stool	103.7313433	NA	10	2	10	0	0	0	1
114	6/23/15	NP2-2630-D4	4	stool	100	NA	10	2	10	0	0	0	1
115	6/23/15	P2-2564-D4	4	stool	98.88059701	NA	10	2	10	0	0	0	1
116	6/23/15	N-535-D4	4	stool	85	85	10	2	10	10	10	10	2.301029996
117	6/23/15	A-503-D4	4	stool	112.3348018	NA	10	2	10	0	0	0	1
118	6/23/15	C-516-D4	4	stool	101.8450185	NA	10	2	10	0	0	0	1
119	6/23/15	D-507-D4	4	stool	108.9068826	NA	10	2	10	0	0	0	1
120	6/23/15	OUTA-NT-D4	4	stool	85.71428571	85.71428571	10	2	10	10	10	10	2.301029996
121	6/23/15	IN2-2613-D4	4	stool	91.66666667	NA	10	2	10	10	10	10	2.301029996
122	6/23/15	IN3-NT-D4	4	stool	85.58558559	85.58558559	10	2	10	0	0	0	1
123	6/23/15	OUT2-2533-D4	4	stool	96.61835749	NA	10	2	10	0	0	0	1
124	6/23/15	LINE-MNT-D4	4	stool	102.9411765	NA	10	2	10	0	0	0	1
125	6/23/15	MOUT-568-D4	4	stool	88.1147541	88.1147541	10	2	10	10	10	10	2.301029996
126	6/23/15	430-307-D4	4	stool	95.55555556	NA	10	2	10	10	10	10	2.301029996
127	6/23/15	369-331-D4	4	stool	97.22222222	NA	10	2	10	250	250	250	3.698970004
128	6/23/15	NP1-317-D4	4	stool	102.0242915	NA	10	2	10	0	0	0	1
129	6/23/15	NP2-983-D4	4	stool	100	NA	10	2	10	0	0	0	1
130	6/23/15	P2-2561-D4	4	stool	103.968254	NA	10	2	10	0	0	0	1
131	6/23/15	N-540-D4	4	stool	100	NA	10	2	10	50	50	50	3
132	6/23/15	A-566-D4	4	stool	98.07692308	NA	10	2	10	0	0	0	1
133	6/23/15	C-596-D4	4	stool	106.9852941	NA	10	2	10	0	0	0	1
134	6/23/15	D-540-D4	4	stool	97.23320158	NA	10	2	10	0	0	0	1
135	6/23/15	OUTA-2062-D4	4	stool	92.41706161	NA	10	2	10	0	10	5	2
136	6/23/15	IN2-2673-D4	4	stool	103.030303	NA	10	2	10	250	250	250	3.698970004
137	6/23/15	OUT2-2510-D4	4	stool	96.15384615	NA	10	2	10	50	50	50	3
138	6/23/15	LINE-188-D4	4	stool	102.6315789	NA	10	2	10	0	0	0	1
139	6/23/15	MID-834	NA	stool	NA	NA	NA	2	10	0	0	0	1
140	6/23/15	430-920-D4	4	stool	100	NA	10	2	10	0	0	0	1
141	6/23/15	369-939-D4	4	stool	100	NA	10	2	10	10	0	5	2
142	6/23/15	NP2-979-D4	4	stool	101.6949153	NA	10	2	10	0	0	0	1
143	6/23/15	P2-2517-D4	4	stool	103.202847	NA	10	2	10	0	0	0	1
144	6/23/15	N-525-D4	4	stool	97.43589744	NA	10	2	10	10	10	10	2.301029996
145	6/23/15	A-526-D4	4	stool	113.8528139	NA	10	2	10	0	0	0	1
146	6/23/15	D-527-D4	4	stool	102.0576132	NA	10	2	10	0	0	0	1
147	6/23/15	OUTA-2063-D4	4	stool	97.70992366	NA	10	2	10	50	50	50	3
148	6/23/15	OUT2-NT-D4	4	stool	98.03921569	NA	10	2	10	10	10	10	2.301029996
149	6/23/15	LINE-978-D4	4	stool	104.3478261	NA	10	2	10	0	0	0	1
150	6/23/15	430-964-D4	4	stool	95.83333333	NA	10	2	10	0	0	0	1
151	6/23/15	430-304-D4	4	stool	93.87755102	NA	10	2	10	10	10	10	2.301029996
152	6/23/15	369-942-D4	4	stool	94.59459459	NA	10	2	10	50	50	50	3
153	6/23/15	369-992-D4	4	stool	102.9411765	NA	10	2	10	50	50	50	3
154	6/23/15	NP1-2725-D1	1	stool	102.8469751	NA	10	2	10	0	0	0	1
155	6/23/15	NP2-979-D1	1	stool	97.03389831	NA	10	2	10	0	0	0	1
156	6/23/15	P2-2561-D1	1	stool	97.61904762	NA	10	2	10	0	0	0	1
157	6/23/15	Y-532-D1	1	stool	96.84684685	NA	2	2	10	0	0	0	1
158	6/23/15	N-540-D1	1	stool	89.20187793	89.20187793	10	2	10	0	0	0	1
159	6/23/15	A-566-D1	1	stool	95	NA	10	2	10	0	0	0	1
160	6/23/15	C-596-D1	1	stool	100	NA	10	2	10	0	0	0	1
161	6/23/15	D-540-D1	1	stool	91.30434783	NA	10	2	10	0	0	0	1
162	6/23/15	OUTA-2062-D1	1	stool	108.056872	NA	10	2	10	0	0	0	1
163	6/23/15	INA-NT-D1	1	stool	100	NA	2	2	10	0	0	0	1
164	6/23/15	CONA-2953-D1	1	stool	91.22807018	NA	2	2	10	0	0	0	1
165	6/23/15	IN2-2629-D1	1	stool	106.0606061	NA	10	2	10	0	0	0	1
166	6/23/15	OUT-2028-D1	1	stool	89.36170213	89.36170213	3	2	10	0	0	0	1
167	6/23/15	IN3-2336-D1	1	stool	87.71929825	87.71929825	10	2	10	0	0	0	1
168	6/23/15	OUT2-2533-D1	1	stool	96.61835749	NA	10	2	10	0	0	0	1
169	6/24/15	OUT2-2510-D1	1	stool	100.9615385	NA	10	2	10	0	0	0	1
170	6/24/15	LINE-MNT-D1	1	stool	108.8235294	NA	10	2	10	0	0	0	1
171	6/24/15	MOUT-896-D1	1	stool	100	NA	10	2	10	0	0	0	1
172	6/24/15	A-503-D1	1	stool	107.0484581	NA	10	2	10	0	0	0	1
173	6/24/15	D-527-D1	1	stool	93.41563786	NA	10	2	10	0	0	0	1
174	6/24/15	430-304-D1	1	stool	89.79591837	89.79591837	10	2	10	0	0	0	1
175	6/24/15	369-939-D1	1	stool	97.36842105	NA	10	2	10	0	0	0	1
176	6/24/15	578-389-D1	1	stool	102.7777778	NA	2	2	10	50	50	50	3
177	6/24/15	IN3-NT-D1	1	stool	83.33333333	83.33333333	10	2	10	0	0	0	1
178	6/24/15	OUTA-NT-D1	1	stool	100	NA	10	2	10	0	0	0	1
179	6/24/15	INA-2064-D1	1	stool	96.78714859	NA	2	2	10	10	10	10	2.301029996
180	6/24/15	CONA-NT-D1	1	stool	84.74576271	84.74576271	2	2	10	0	0	0	1
181	6/24/15	NP1-2597-D1	1	stool	100.7462687	NA	10	2	10	0	0	0	1
182	6/24/15	NP2-983-D1	1	stool	94.95412844	NA	10	2	10	0	0	0	1
183	6/24/15	P2-2517-D1	1	stool	100.7117438	NA	10	2	10	0	0	0	1
184	6/24/15	IN2-2613-D1	1	stool	97.77777778	NA	10	2	10	0	0	0	1
185	6/24/15	OUT-2096-D1	1	stool	92.61083744	NA	3	2	10	0	0	0	1
186	6/24/15	IN1-2026-D1	1	stool	100	NA	3	2	10	0	0	0	1
187	6/24/15	N-534-D1	1	stool	91.87817259	NA	10	2	10	0	0	0	1
188	6/24/15	OUT2-NT-D1	1	stool	95.58823529	NA	10	2	10	0	0	0	1
189	6/24/15	LINE-978-D1	1	stool	104.3478261	NA	10	2	10	0	0	0	1
190	6/24/15	A-526-D1	1	stool	109.5238095	NA	10	2	10	0	0	0	1
191	6/24/15	D-507-D1	1	stool	101.6194332	NA	10	2	10	0	0	0	1
192	6/24/15	430-307-D1	1	stool	97.77777778	NA	10	2	10	0	0	0	1
193	6/24/15	369-331-D1	1	stool	91.66666667	NA	10	2	10	0	0	0	1
194	6/24/15	578-382-D1	1	stool	100	NA	2	2	10	50	50	50	3
195	6/24/15	CONA-2955-D1	1	stool	86.01398601	86.01398601	2	2	10	10	10	10	2.301029996
196	6/24/15	NP1-317-D1	1	stool	100.8097166	NA	10	2	10	0	0	0	1
197	6/24/15	NP2-2630-D1	1	stool	95.91836735	NA	10	2	10	0	0	0	1
198	6/24/15	P2-2564-D1	1	stool	98.88059701	NA	10	2	10	0	0	0	1
199	6/24/15	IN2-2673-D1	1	stool	115.1515152	NA	10	2	10	0	0	0	1
200	6/24/15	OUT-2081-D1	1	stool	90.81081081	NA	3	2	10	0	0	0	1
201	6/24/15	IN1-2054-D1	1	stool	96.6507177	NA	3	2	10	0	0	0	1
202	6/24/15	N-525-D1	1	stool	85.64102564	85.64102564	10	2	10	0	0	0	1
203	6/24/15	430-920-D1	1	stool	95.34883721	NA	10	2	10	0	0	0	1
204	6/24/15	430-964-D1	1	stool	95.83333333	NA	10	2	10	0	0	0	1
205	6/24/15	369-942-D1	1	stool	100	NA	10	2	10	0	0	0	1
206	6/24/15	369-992-D1	1	stool	100	NA	10	2	10	0	0	0	1
207	6/24/15	578-984-D1	1	stool	102.3809524	NA	2	2	10	50	50	50	3
208	6/24/15	OUT2-NT-D10	10	stool	103.9215686	NA	10	2	10	0	0	0	1
209	6/24/15	LINE-MNT-D10	10	stool	107.6470588	NA	10	2	10	0	0	0	1
210	6/24/15	MOUT-568-D10	10	stool	88.1147541	88.1147541	10	2	10	50	50	50	3
211	6/24/15	A-503-D10	10	stool	111.8942731	NA	10	2	10	0	0	0	1
212	6/24/15	C-516-D10	10	stool	100.7380074	NA	10	2	10	0	0	0	1
213	6/24/15	D-507-D10	10	stool	108.5020243	NA	10	2	10	0	0	0	1
214	6/24/15	430-304-D10	10	stool	95.91836735	NA	10	2	10	0	0	0	1
215	6/24/15	369-331-D10	10	stool	105.5555556	NA	10	2	10	0	0	0	1
216	6/24/15	IN3-NT-D10	10	stool	88.73873874	88.73873874	10	2	10	0	0	0	1
217	6/24/15	OUTA-NT-D10	10	stool	87.61904762	87.61904762	10	2	10	50	50	50	3
218	6/24/15	OP-2091-D1	1	stool	96.42857143	NA	3	2	10	0	0	0	1
219	6/24/15	NP1-2597-D10	10	stool	98.88059701	NA	10	2	10	0	0	0	1
220	6/24/15	NP2-979-D10	10	stool	99.57627119	NA	10	2	10	0	0	0	1
221	6/24/15	P2-2517-D10	10	stool	99.64412811	NA	10	2	10	0	0	0	1
222	6/24/15	N-525-D10	10	stool	82.05128205	82.05128205	10	2	10	10	10	10	2.301029996
223	6/24/15	OUT2-2533-D10	10	stool	101.4492754	NA	10	2	10	0	0	0	1
224	6/24/15	LINE-978-D10	10	stool	113.0434783	NA	10	2	10	0	0	0	1
225	6/24/15	MOUT-986-D10	10	stool	116.8181818	NA	10	2	10	10	10	10	2.301029996
226	6/24/15	A-526-D10	10	stool	110.8225108	NA	10	2	10	0	0	0	1
227	6/24/15	C-596-D10	10	stool	106.25	NA	10	2	10	0	0	0	1
228	6/24/15	D-540-D10	10	stool	98.02371542	NA	10	2	10	0	0	0	1
229	6/24/15	430-307-D10	10	stool	100	NA	10	2	10	0	0	0	1
230	6/24/15	369-939-D10	10	stool	105.2631579	NA	10	2	10	0	0	0	1
231	6/24/15	IN3-2318-D10	10	stool	89.07563025	89.07563025	10	2	10	0	0	0	1
232	6/24/15	OUTA-2062-D10	10	stool	94.78672986	NA	10	2	10	50	50	50	3
233	6/24/15	OP-2542-D1	1	stool	95.55555556	NA	3	2	10	0	0	0	1
234	6/24/15	NP1-2725-D10	10	stool	99.64412811	NA	10	2	10	0	0	0	1
235	6/24/15	NP2-983-D10	10	stool	103.2110092	NA	10	2	10	0	0	0	1
236	6/24/15	P2-2561-D10	10	stool	103.1746032	NA	10	2	10	0	0	0	1
237	6/24/15	N-540-D10	10	stool	91.54929577	NA	10	2	10	50	50	50	3
238	6/24/15	OUT2-2510-D10	10	stool	101.9230769	NA	10	2	10	0	0	0	1
239	6/25/15	LINE-188-D10	10	stool	113.1578947	NA	10	2	10	0	0	0	1
240	6/25/15	D-527-D10	10	stool	100.4115226	NA	10	2	10	0	0	0	1
241	6/25/15	OP-931-D1	1	stool	97.59036145	NA	3	2	10	0	0	0	1
242	6/25/15	430-920-D10	10	stool	102.3255814	NA	10	2	10	0	0	0	1
243	6/25/15	369-942-D10	10	stool	100	NA	10	2	10	10	10	10	2.301029996
244	6/25/15	IN3-2336-D10	10	stool	91.22807018	NA	10	2	10	0	0	0	1
245	6/25/15	NP1-317-D10	10	stool	101.2145749	NA	10	2	10	0	0	0	1
246	6/25/15	NP2-2630-D10	10	stool	95.91836735	NA	10	2	10	0	0	0	1
247	6/25/15	P2-2564-D10	10	stool	97.01492537	NA	10	2	10	0	0	0	1
248	6/25/15	OUTA-2063-D10	10	stool	97.32824427	NA	10	2	10	10	10	10	2.301029996
249	6/25/15	N-535-D10	10	stool	85	85	10	2	10	10	10	10	2.301029996
250	6/25/15	430-964-D10	10	stool	97.91666667	NA	10	2	10	0	0	0	1
251	6/25/15	369-992-D10	10	stool	105.8823529	NA	10	2	10	0	0	0	1
252	6/25/15	N-534-D10	10	stool	88.83248731	88.83248731	10	2	10	10	10	10	2.301029996
253	6/25/15	OUT2-NT-D7	7	stool	108.8235294	NA	10	2	10	0	0	0	1
254	6/25/15	LINE-MNT-D7	7	stool	NA	NA	10	2	10	0	0	0	1
255	6/25/15	MOUT-568-D7	7	stool	NA	NA	10	2	10	0	0	0	1
256	6/25/15	A-503-D7	7	stool	112.3348018	NA	10	2	10	0	0	0	1
257	6/25/15	C-516-D7	7	stool	102.2140221	NA	10	2	10	0	0	0	1
258	6/25/15	D-527-D7	7	stool	104.1152263	NA	10	2	10	0	0	0	1
259	6/25/15	430-304-D7	7	stool	93.87755102	NA	10	2	10	0	0	0	1
260	6/25/15	NP1-2725-D7	7	stool	104.2704626	NA	10	2	10	0	0	0	1
261	6/25/15	NP2-979-D7	7	stool	82.62711864	82.62711864	10	2	10	50	50	50	3
262	6/25/15	P2-2517-D7	7	stool	98.22064057	NA	10	2	10	0	0	0	1
263	6/25/15	IN3-2336-D7	7	stool	95.61403509	NA	10	2	10	0	0	0	1
264	6/25/15	OUTA-NT-D7	7	stool	94.76190476	NA	10	2	10	1250	250	750	4.176091259
265	6/25/15	IN3-NT-D7	7	stool	102.2522523	NA	10	2	10	0	10	5	2
266	6/25/15	OUT2-2510-D7	7	stool	105.7692308	NA	10	2	10	0	0	0	1
267	6/25/15	LINE-188-D7	7	stool	NA	NA	10	2	10	0	0	0	1
268	6/25/15	A-526-D7	7	stool	114.7186147	NA	10	2	10	0	0	0	1
269	6/25/15	C-596-D7	7	stool	108.0882353	NA	10	2	10	0	0	0	1
270	6/25/15	D-540-D7	7	stool	102.7667984	NA	10	2	10	0	0	0	1
271	6/25/15	430-307-D7	7	stool	97.77777778	NA	10	2	10	0	0	0	1
272	6/25/15	369-331-D7	7	stool	94.44444444	NA	10	2	10	50	50	50	3
273	6/25/15	NP1-2597-D7	7	stool	101.4925373	NA	10	2	10	0	0	0	1
274	6/25/15	OUTA-2062-D7	7	stool	99.52606635	NA	10	2	10	10	10	10	2.301029996
275	6/25/15	OUT2-2533-D7	7	stool	97.58454106	NA	10	2	10	0	0	0	1
276	6/25/15	LINE-978-D7	7	stool	NA	NA	10	2	10	0	0	0	1
277	6/25/15	MOUT-896-D7	7	stool	NA	NA	10	2	10	0	0	0	1
278	6/25/15	A-566-D7	7	stool	101.9230769	NA	10	2	10	0	0	0	1
279	6/25/15	430-920-D7	7	stool	100	NA	10	2	10	0	10	5	2
280	6/25/15	430-964-D7	7	stool	93.75	NA	10	2	10	0	10	5	2
281	6/25/15	369-939-D7	7	stool	97.36842105	NA	10	2	10	0	0	0	1
282	6/25/15	369-942-D7	7	stool	94.59459459	NA	10	2	10	50	10	30	2.77815125
283	6/25/15	369-992-D7	7	stool	97.05882353	NA	10	2	10	0	0	0	1
284	6/25/15	NP2-2630-D7	7	stool	79.59183673	79.59183673	10	2	10	0	0	0	1
285	6/25/15	P2-2561-D7	7	stool	100	NA	10	2	10	0	0	0	1
286	6/25/15	P2-2564-D7	7	stool	100	NA	10	2	10	0	0	0	1
287	6/25/15	OUTA-2063-D7	7	stool	93.51145038	NA	10	2	10	10	10	10	2.301029996
288	6/26/15	CON2-NT-D1	1	stool	100.00	NA	10	2	10	0	0	0	1
289	6/26/15	CON2-2328-D1	1	stool	105.528	NA	10	2	10	0	0	0	1
290	6/26/15	CON3-TAIL-D1	1	stool	99.00990099	NA	10	2	10	0	0	0	1
291	6/26/15	CON3-NT-D1	1	stool	93.02325581	NA	10	2	10	0	0	0	1
292	6/26/15	CON3-2742-D1	1	stool	95.6284153	NA	10	2	10	0	0	0	1
293	6/26/15	CON2-NT-D2	2	stool	106.50	NA	10	2	10	0	0	0	1
294	6/26/15	CON2-2376-D2	2	stool	101.376	NA	10	2	10	0	0	0	1
295	6/26/15	CON3-TAIL-D2	2	stool	96.53465347	NA	10	2	10	0	0	0	1
296	6/26/15	CON3-NT-D2	2	stool	95.34883721	NA	10	2	10	0	0	0	1
297	6/26/15	CON3-2742-D2	2	stool	97.81420765	NA	10	2	10	0	0	0	1
298	6/26/15	CON2-NT-D3	3	stool	100.00	NA	10	2	10	0	0	0	1
299	6/26/15	CON2-2328-D3	3	stool	101.508	NA	10	2	10	0	0	0	1
300	6/26/15	CON2-2376-D3	3	stool	93.578	NA	10	2	10	0	0	0	1
